gagename,first_noflow_date,last_noflow_date,total_noflow_days
Granada (CO),NA,NA,NA
Garden City,2014-04-15,2014-04-16,2
Garden City,2014-04-18,2014-05-21,34
Garden City,2014-05-24,2014-05-31,8
Garden City,2014-06-02,2014-06-02,1
Garden City,2014-06-10,2014-06-21,12
Garden City,2014-06-25,2014-06-27,3
Garden City,2014-06-29,2014-07-15,17
Garden City,2014-07-17,2014-07-20,4
Garden City,2014-07-23,2014-07-29,7
Garden City,2014-07-31,2014-08-06,7
Garden City,2014-08-10,2014-08-15,6
Garden City,2014-08-17,2014-08-26,10
Garden City,2014-08-28,2014-09-04,8
Garden City,2014-09-06,2014-10-09,34
Garden City,2014-10-11,2014-10-12,2
Garden City,2014-10-14,2014-12-13,61
Garden City,2014-12-15,2015-01-29,46
Garden City,2015-02-02,2015-02-23,22
Garden City,2015-02-25,2015-03-18,22
Garden City,2015-03-20,2015-04-15,27
Garden City,2015-04-19,2015-05-04,16
Garden City,2015-05-07,2015-05-08,2
Garden City,2015-05-10,2015-05-15,6
Garden City,2015-05-17,2015-05-18,2
Garden City,2015-05-20,2015-05-21,2
Garden City,2015-05-24,2015-05-26,3
Garden City,2015-05-30,2015-06-11,13
Garden City,2015-06-13,2015-07-12,30
Garden City,2015-07-16,2015-07-18,3
Garden City,2015-07-21,2015-07-21,1
Garden City,2015-07-23,2015-07-26,4
Garden City,2015-07-28,2015-07-28,1
Garden City,2015-07-30,2015-08-07,9
Garden City,2015-08-09,2015-08-11,3
Garden City,2015-08-13,2015-08-16,4
Garden City,2015-08-19,2015-10-20,63
Garden City,2015-10-23,2015-10-29,7
Garden City,2015-10-31,2015-11-03,4
Garden City,2015-11-05,2015-11-15,11
Garden City,2015-11-18,2015-12-12,25
Garden City,2015-12-15,2015-12-19,5
Garden City,2015-12-21,2016-02-01,43
Garden City,2016-02-03,2016-04-10,68
Garden City,2016-04-12,2016-04-14,3
Garden City,2016-04-21,2016-04-28,8
Garden City,2016-04-30,2016-05-30,31
Garden City,2016-06-01,2016-06-12,12
Garden City,2016-06-14,2016-07-13,30
Garden City,2016-07-17,2016-07-23,7
Garden City,2016-07-26,2016-07-27,2
Garden City,2016-07-29,2016-08-04,7
Garden City,2016-08-08,2016-11-10,95
Garden City,2016-11-13,2016-12-24,42
Garden City,2016-12-26,2017-01-14,20
Garden City,2017-01-18,2017-01-20,3
Garden City,2017-01-23,2017-03-23,60
Garden City,2017-03-25,2017-03-27,3
Garden City,2017-03-30,2017-03-31,2
Garden City,2017-04-02,2017-04-03,2
Garden City,2017-04-06,2017-04-20,15
Garden City,2017-04-22,2017-04-27,6
Garden City,2017-05-04,2017-05-14,11
Garden City,2017-06-05,2017-06-07,3
Garden City,2017-06-09,2017-06-20,12
Garden City,2017-06-23,2017-07-06,14
Garden City,2017-07-09,2017-07-12,4
Garden City,2017-07-15,2017-07-15,1
Garden City,2017-07-17,2017-07-30,14
Garden City,2017-08-01,2017-08-06,6
Garden City,2017-08-08,2017-08-08,1
Garden City,2017-08-31,2017-09-22,23
Garden City,2017-09-26,2017-10-02,7
