Time [days],well,recharge,river
163.0,-1.0654668664619943e-07,0.0035574001885898543,
164.0,-1.1605192843119858e-07,0.0035510292874700866,
165.0,-1.2626766270242936e-07,0.003544669795914057,
166.0,-1.372359665429917e-07,0.00353832169348689,
167.0,-1.490006698832531e-07,0.003531984959792678,
168.0,-1.616073887865391e-07,0.003525659574471929,
169.0,-1.7510355768781713e-07,0.00351934551719979,
170.0,-1.895384605279889e-07,0.0035130427676899334,
171.0,-2.049632607281276e-07,0.0035067513056912247,
172.0,-2.214310299501604e-07,0.00350047111098839,
173.0,-2.3899677559323986e-07,0.0034942021634040143,
174.0,-2.5771746697683707e-07,0.003487944442795099,
175.0,-2.7765206016470943e-07,0.003481697929055505,
176.0,-2.9886152138578484e-07,0.0034754626021150647,
177.0,-3.214088490111603e-07,0.0034692384419393596,
178.0,-3.4535909404878165e-07,0.0034630254285303863,
179.0,-3.7077937911998027e-07,0.0034568235419250026,
180.0,-3.9773891588516324e-07,0.0034506327621969257,
181.0,-4.2630902088799605e-07,0.0034444530694542896,
182.0,-4.5656312979127656e-07,0.003438284443842088,
183.0,-4.885768099790912e-07,0.003432126865540286,
184.0,-5.224277715038198e-07,0.0034259803147641543,
185.0,-5.581958763588589e-07,0.003419844771765046,
186.0,-5.959631460604026e-07,0.0034137202168288416,
187.0,-6.358137675248364e-07,0.0034076066302776153,
188.0,-6.778340972309495e-07,0.003401503992467636,
189.0,-7.221126636583124e-07,0.003395412283791699,
190.0,-7.687401679969583e-07,0.003389331484676128,
191.0,-8.178094831244273e-07,0.0033832615755838846,
192.0,-8.694156508506958e-07,0.00337720253701157,
193.0,-9.236558774326527e-07,0.003371154349491867,
194.0,-9.806295273623586e-07,0.0033651169935914327,
195.0,-1.0404381154368417e-06,0.0033590904499120056,
196.0,-1.1031852971179978e-06,0.003353074699090297,
197.0,-1.1689768571944588e-06,0.0033470697217974354,
198.0,-1.237920696759245e-06,0.00334107549873941,
199.0,-1.310126818518397e-06,0.003335092010656071,
200.0,-1.3857073104503672e-06,0.0033291192383230195,
201.0,-1.4647763278331324e-06,0.003323157162549606,
202.0,-1.5474500736636652e-06,0.003317205764178377,
203.0,-1.6338467774918442e-06,0.0033112650240884056,
204.0,-1.7240866726945468e-06,0.0033053349231915163,
205.0,-1.8182919722169202e-06,0.0032994154424345057,
206.0,-1.916586842809278e-06,0.003293506562797144,
207.0,-2.0190973777904918e-06,0.003287608265294506,
208.0,-2.1259515683678886e-06,0.0032817205309754183,
209.0,-2.2372792735483304e-06,0.0032758433409220133,
210.0,-2.353212188672729e-06,0.003269976676250619,
211.0,-2.4738838126107517e-06,0.0032641205181119792,
212.0,-2.599429413651684e-06,0.0032582748476895906,
213.0,-2.7299859941264137e-06,0.003252439646201366,
214.0,-2.8656922538048034e-06,0.0032466148948988582,
215.0,-3.0066885520993615e-06,0.0032408005750661495,
216.0,-3.153116869121946e-06,0.003234996668022627,
217.0,-3.3051207656308496e-06,0.003229203155119653,
218.0,-3.4628453419091316e-06,0.00322342001774234,
219.0,-3.626437195618489e-06,0.003217647237310106,
220.0,-3.7960443786659597e-06,0.0032118847952736784,
221.0,-3.971816353132561e-06,0.0032061326731191997,
222.0,-4.15390394630145e-06,0.003200390852364343,
223.0,-4.342459304828837e-06,0.003194659314560311,
224.0,-4.537635848106861e-06,0.0031889380412924995,
225.0,-4.73958822085257e-06,0.003183227014176837,
226.0,-4.948472244975866e-06,0.0031775262148648897,
227.0,-5.164444870761696e-06,0.003171835625039199,
228.0,-5.387664127418025e-06,0.0031661552264155013,
229.0,-5.618289073024198e-06,0.003160485000743174,
230.0,-5.856479743930338e-06,0.003154824929803346,
231.0,-6.102397103646939e-06,0.003149174995409676,
232.0,-6.356202991269171e-06,0.0031435351794093513,
