,obs,resid
2003-08-31,0.7143000000000939,-0.16090999560334218
2003-09-01,0.7194000000000642,-0.15429568256555193
2003-09-02,0.7128000000000156,-0.15937912362351536
2003-09-03,0.7060000000000173,-0.16466037785669752
2003-09-04,0.7007000000000971,-0.1684395015481428
2003-09-05,0.6711999999999989,-0.1964165583008679
2003-09-06,0.6799000000000888,-0.18619160782323885
2003-09-07,0.691599999999994,-0.1729647092241331
2003-09-08,0.6893000000000029,-0.17373592224977852
2003-09-09,0.6931000000000722,-0.1923833376224584
2003-09-10,1.0410000000000537,0.006355654140396183
2003-09-11,1.2567999999999984,0.14286490860011725
2003-09-12,1.3564000000000078,0.2158017585973111
2003-09-13,1.4241000000000668,0.27489107845475935
2003-09-14,1.5048000000000457,0.29184143581537647
2003-09-15,1.6002000000000862,0.28164396270653835
2003-09-16,1.6784000000000106,0.3204344448966623
2003-09-17,1.7472999999999956,0.3338511131717796
2003-09-18,1.7162000000000717,0.38709600973874636
2003-09-19,1.66700000000003,0.4408318398139581
2003-09-20,1.6253000000000384,0.4641709723072811
2003-09-21,1.5801000000000158,0.4604822042241734
2003-09-22,1.5342000000000553,0.464356572236885
2003-09-23,1.492900000000077,0.45998975681280285
2003-09-24,1.4577000000000453,0.4421462959207192
2003-09-25,1.4145000000000891,0.45438116986273425
2003-09-26,1.3713000000000193,0.49634242040377874
2003-09-27,1.3260000000000218,0.46831156288371645
2003-09-28,1.2741000000000895,0.417965451177861
2003-09-29,1.2357000000000653,0.38111996393501535
2003-09-30,1.2146000000000186,0.3615750416304824
2003-10-01,1.2005000000000337,0.3490288055212467
2003-10-02,1.1870000000000118,0.33707807070307005
2003-10-03,1.1767000000000962,0.3283227337842751
2003-10-04,1.1651000000000522,0.31826276426013145
2003-10-05,1.1534000000000333,0.3080980922234531
2003-10-06,1.1428000000000793,0.29902866316973675
2003-10-07,1.133100000000013,0.2908544332476444
2003-10-08,1.124900000000025,0.2841753576082997
2003-10-09,1.1224000000000842,0.2831913897610612
2003-10-10,1.1108000000000402,0.2731024827938331
2003-10-11,1.1000000000000227,0.26380859007205615
