PDIV_ID,Year,WaterUse_m3
20501,1998,0
20501,1999,0
20501,2000,0
20501,2001,0
20501,2002,0
20501,2003,0
20501,2004,0
20501,2005,0
20501,2006,0
20501,2007,0
20501,2008,0
20501,2009,0
20501,2010,0
20501,2011,0
20501,2012,0
20501,2013,0
20501,2014,0
20501,2015,0
20501,2016,0
20501,2017,0
20501,2018,0
20501,2019,0
20592,1990,145473.56619114577
20592,1991,223218.45566379104
20592,1992,66456.77668622855
20592,1993,55161.09306628632
20592,1994,182729.6379697901
20592,1995,184633.70260143472
20592,1996,84532.14172819378
20592,1997,102085.11925690429
20592,1998,38126.71763406779
20592,1999,162303.52911817783
20592,2000,110912.71114755621
20592,2001,196989.30291493813
20592,2002,235384.7851391579
20592,2003,239389.75607411147
20592,2004,220644.3722651449
20592,2005,236550.6935020751
20592,2006,238314.69771349983
20592,2007,188722.7211447706
20592,2008,151718.266018345
20592,2009,157885.67520608258
20592,2010,152951.7478558925
20592,2011,225727.1762711962
20592,2012,240528.95832176643
20592,2013,114713.81089191938
20592,2014,182555.311957033
20592,2015,185022.27563212803
20592,2016,150484.78418079746
20592,2017,214625.8397332685
20592,2018,167753.52990646273
20592,2019,166520.04806891523
20692,1990,170854.78558515167
20692,1991,146949.87872860543
20692,1992,69046.00175192578
20692,1993,93744.61965361153
20692,1994,198590.57584515074
20692,1995,154185.22969344002
20692,1996,92613.92796919297
20692,1997,90350.32729248707
20692,1998,144625.74545244675
20692,1999,110602.20476676096
20692,2000,112555.21767621122
20692,2001,100559.59630153007
20692,2002,158810.78658424324
20692,2003,193245.48788244525
20692,2004,81820.96189065218
20692,2005,146578.75836189656
20692,2006,200235.21829521368
20692,2007,85315.8270970368
20692,2008,111835.68660430849
20692,2009,126945.83911426604
20692,2010,178135.33537248813
20692,2011,95665.05242733925
20692,2012,44610.926457968635
20692,2013,170220.4935815578
20692,2014,154390.80999969837
20692,2015,105771.06756969985
20692,2016,13362.719906764798
20692,2017,0
20692,2018,134757.89075206657
20692,2019,152540.5872433771
20701,1990,268899.0405853594
20701,1991,263965.1132351693
20701,1992,178854.8664443904
20701,1993,123348.18375475201
20701,1994,0
20701,1995,0
20701,1996,0
20701,1997,0
20701,1998,0
20701,1999,0
20701,2000,0
20701,2001,0
20701,2002,0
20701,2003,0
20701,2004,0
20701,2005,0
20701,2006,0
20701,2007,0
20701,2008,0
20701,2009,0
20701,2010,0
20701,2011,0
20701,2012,0
20701,2013,0
20701,2014,0
20701,2015,0
20701,2016,0
20701,2017,0
20701,2018,0
20701,2019,0
20757,1990,43664.4038162439
20757,1991,43664.4038162439
20757,1992,45940.120665653034
20757,1993,12128.096766063329
20757,1994,30991.964119702123
20757,1995,14542.057035646818
20757,1996,9781.138373179881
20757,1997,14003.392230312436
20757,1998,11979.70842896489
20757,1999,42451.17774379367
20757,2000,21414.85971003259
20757,2001,45887.95762266282
20757,2002,70444.71324574904
20757,2003,75058.37919614637
20757,2004,84880.02152868731
20757,2005,126552.16050271418
20757,2006,116732.03233687831
20757,2007,94095.61863751753
20757,2008,33938.153986123376
20757,2009,30921.933909591877
20757,2010,32431.17957288645
20757,2011,0
20757,2012,0
20757,2013,0
20757,2014,0
20757,2015,0
20757,2016,0
20757,2017,0
20757,2018,0
20757,2019,0
21071,1990,281089.90713218186
21071,1991,419511.24189438944
21071,1992,141317.17858568486
21071,1993,60440.61003982849
21071,1994,331806.6143002829
21071,1995,326872.68695009284
21071,1996,0
21071,1997,0
21071,1998,0
21071,1999,0
21071,2000,0
21071,2001,0
21071,2002,0
21071,2003,0
21071,2004,0
21071,2005,0
21071,2006,0
21071,2007,0
21071,2008,0
21071,2009,0
21071,2010,0
21071,2011,0
21071,2012,0
21071,2013,0
21071,2014,0
21071,2015,0
21071,2016,0
