Date,WaterYear,stage_masl,stage_cd,discharge_cms,discharge_cd
1999-04-23,1999,594.009496,A,10.590500625408001,A
1999-04-24,1999,593.975968,A,9.882579460608001,A
1999-04-25,1999,593.960728,A,9.48614360832,A
1999-04-26,1999,593.94244,A,9.033074062848002,A
1999-04-27,1999,593.933296,A,8.863172983296002,A
1999-04-28,1999,593.921104,A,8.580004517376,A
1999-04-29,1999,593.915008,A,8.410103437824,A
1999-04-30,1999,593.908912,A,8.353469744640002,A
1999-05-01,1999,593.902816,A,8.211885511680002,A
1999-05-02,1999,593.930248,A,8.863172983296002,A
1999-05-03,1999,593.939392,A,9.146341449216001,A
1999-05-04,1999,593.945488,A,9.287925682176,A
1999-05-05,1999,593.933296,A,9.033074062848002,A
1999-05-06,1999,593.933296,A,9.089707756032002,A
1999-05-07,1999,593.933296,A,9.089707756032002,A
1999-05-08,1999,593.945488,A,9.401193068544002,A
1999-05-09,1999,593.97292,A,10.194064773120001,A
1999-05-10,1999,594.009496,A,10.986936477696002,A
1999-05-11,1999,594.04912,A,11.751491335680003,A
1999-05-12,1999,594.097888,A,12.799214659584003,A
1999-05-13,1999,594.180184,A,14.611492841472002,A
1999-05-14,1999,594.347824,A,18.490900824576002,A
1999-05-15,1999,594.515464,A,22.766744659968005,A
1999-05-16,1999,594.625192,A,25.824964091904004,A
1999-05-17,1999,594.759304,A,29.732688921600005,A
1999-05-18,1999,594.817216,A,31.431699717120004,A
1999-05-19,1999,594.869032,A,33.13071051264001,A
1999-05-20,1999,594.908656,A,34.263384376320005,A
1999-05-21,1999,594.939136,A,35.39605824,A
1999-05-22,1999,594.969616,A,36.24556363776001,A
1999-05-23,1999,595.0061919999999,A,37.661405967360004,A
1999-05-24,1999,595.042768,A,38.79407983104001,A
1999-05-25,1999,595.125064,A,41.62576449024001,A
1999-05-26,1999,595.198216,A,44.17428068352001,A
1999-05-27,1999,595.240888,A,45.873291479040006,A
1999-05-28,1999,595.307944,A,48.13863920640001,A
1999-05-29,1999,595.307944,A,48.42180767232001,A
1999-05-30,1999,595.289656,A,47.57230227456001,A
1999-05-31,1999,595.286608,A,47.57230227456001,A
1999-06-01,1999,595.295752,A,47.85547074048001,A
1999-06-02,1999,595.304896,A,48.13863920640001,A
1999-06-03,1999,595.304896,A,48.13863920640001,A
1999-06-04,1999,595.304896,A,48.13863920640001,A
1999-06-05,1999,595.301848,A,48.13863920640001,A
1999-06-06,1999,595.2988,A,47.85547074048001,A
1999-06-07,1999,595.31404,A,48.42180767232001,A
1999-06-08,1999,595.335376,A,49.271313070080005,A
1999-06-09,1999,595.317088,A,48.704976138240006,A
1999-06-10,1999,595.335376,A,49.271313070080005,A
1999-06-11,1999,595.2988,A,47.85547074048001,A
1999-06-12,1999,595.341472,A,49.554481536000004,A
1999-06-13,1999,595.384144,A,51.25349233152001,A
1999-06-14,1999,595.399384,A,51.53666079744001,A
1999-06-15,1999,595.417672,A,52.386166195200005,A
1999-06-16,1999,595.4512,A,53.80200852480001,A
1999-06-17,1999,595.463392,A,54.08517699072001,A
1999-06-18,1999,595.469488,A,54.36834545664001,A
1999-06-19,1999,595.469488,A,54.36834545664001,A
1999-06-20,1999,595.414624,A,52.102997729280006,A
1999-06-21,1999,595.301848,A,47.85547074048001,A
1999-06-22,1999,595.22259999999994,A,44.74061761536001,A
1999-06-23,1999,595.22259999999994,A,44.45744914944001,A
1999-06-24,1999,595.274416,A,46.156459944960005,A
1999-06-25,1999,595.228696,A,44.17428068352001,A
1999-06-26,1999,595.149448,A,41.34259602432001,A
1999-06-27,1999,595.033624,A,37.095069035520005,A
1999-06-28,1999,594.97876,A,34.82972130816,A
1999-06-29,1999,594.936088,A,33.13071051264001,A
1999-06-30,1999,594.929992,A,32.84754204672001,A
1999-07-01,1999,595.015336,A,35.39605824,A
1999-07-02,1999,595.073248,A,37.378237501440005,A
1999-07-03,1999,595.027528,A,35.39605824,A
1999-07-04,1999,594.966568,A,33.13071051264001,A
1999-07-05,1999,594.94828,A,32.28120511488,A
1999-07-06,1999,595.0061919999999,A,33.980215910400005,A
1999-07-07,1999,594.984856,A,33.13071051264001,A
1999-07-08,1999,594.90256,A,30.015857387520004,A
1999-07-09,1999,594.817216,A,27.127539035136003,A
1999-07-10,1999,594.741016,A,24.465755455488004,A
1999-07-11,1999,594.670912,A,22.172090881536004,A
1999-07-12,1999,594.625192,A,20.586347472384002,A
1999-07-13,1999,594.561184,A,18.632485057536,A
1999-07-14,1999,594.509368,A,17.216642727936,A
1999-07-15,1999,594.49108,A,16.848523722240003,A
1999-07-16,1999,594.457552,A,15.999018324480003,A
1999-07-17,1999,594.436216,A,15.545948779008002,A
1999-07-18,1999,594.402688,A,14.809710767616002,A
1999-07-19,1999,594.408784,A,15.064562386944003,A
1999-07-20,1999,594.454504,A,16.253869943808002,A
1999-07-21,1999,594.360016,A,14.016839063040003,A
1999-07-22,1999,594.286864,A,12.374461960704002,A
1999-07-23,1999,594.244192,A,11.496639716352002,A
1999-07-24,1999,594.210664,A,10.817035398144002,A
1999-07-25,1999,594.1558,A,9.514460454912001,A
1999-07-26,1999,594.113128,A,8.523370824192002,A
1999-07-27,1999,594.082648,A,7.872083352576001,A
1999-07-28,1999,594.052168,A,7.249112727552001,A
1999-07-29,1999,594.012544,A,6.512874716160001,A
1999-07-30,1999,593.975968,A,5.861587244544001,A
1999-07-31,1999,593.960728,A,5.635052471808001,A
1999-08-01,1999,593.933296,A,5.238616619520001,A
1999-08-02,1999,593.966824,A,5.918220937728001,A
1999-08-03,1999,593.94244,A,5.521785085440001,A
1999-08-04,1999,593.982064,A,6.484557869568001,A
1999-08-05,1999,594.283816,A,13.280601051648002,A
1999-08-06,1999,594.244192,A,12.459412500480003,A
1999-08-07,1999,594.253336,A,12.714264119808002,A
1999-08-08,1999,594.36916,A,15.489315085824002,A
1999-08-09,1999,594.442312,A,17.443177500672004,A
1999-08-10,1999,594.463648,A,18.009514432512002,A
1999-08-11,1999,594.378304,A,15.999018324480003,A
1999-08-12,1999,594.320392,A,14.668126534656002,A
1999-08-13,1999,594.268576,A,13.507135824384003,A
1999-08-14,1999,594.198472,A,12.062976648192002,A
1999-08-15,1999,594.137512,A,10.845352244736002,A
1999-08-16,1999,594.100936,A,10.024163693568001,A
1999-08-17,1999,594.088744,A,9.854262614016001,A
1999-08-18,1999,594.122272,A,10.647134318592002,A
1999-08-19,1999,594.180184,A,11.893075568640002,A
1999-08-20,1999,594.265528,A,13.790304290304002,A
1999-08-21,1999,594.356968,A,15.914067784704002,A
1999-08-22,1999,594.442312,A,18.066148125696003,A
1999-08-23,1999,594.50632,A,19.680208381440004,A
1999-08-24,1999,594.4606,A,18.547534517760003,A
1999-08-25,1999,594.366112,A,16.055652017664002,A
1999-08-26,1999,594.296008,A,14.384958068736003,A
1999-08-27,1999,594.235048,A,13.025749432320001,A
1999-08-28,1999,594.18628,A,11.949709261824001,A
1999-08-29,1999,594.152752,A,11.241788097024001,A
1999-08-30,1999,594.107032,A,10.250698466304001,A
1999-08-31,1999,594.070456,A,9.287925682176,A
1999-09-01,1999,594.039976,A,8.551687670784002,A
1999-09-02,1999,594.009496,A,7.9004001991680015,A
1999-09-03,1999,593.982064,A,7.277429574144001,A
1999-09-04,1999,593.960728,A,6.824360028672001,A
1999-09-05,1999,593.945488,A,6.541191562752001,A
1999-09-06,1999,593.94244,A,6.484557869568001,A
1999-09-07,1999,593.9272,A,6.1447557104640005,A
1999-09-08,1999,593.899768,A,5.635052471808001,A
1999-09-09,1999,593.875384,A,5.153666079744001,A
1999-09-10,1999,593.854048,A,4.813863920640001,A
1999-09-11,1999,593.844904,A,4.672279687680001,A
1999-09-12,1999,593.841856,A,4.615645994496001,A
1999-09-13,1999,593.823568,A,4.332477528576001,A
1999-09-14,1999,593.814424,A,4.162576449024001,A
1999-09-15,1999,593.814424,A,4.162576449024001,A
1999-09-16,1999,593.814424,A,4.190893295616001,A
1999-09-17,1999,593.811376,A,4.105942755840001,A
1999-09-18,1999,593.829664,A,4.38911122176,A
1999-09-19,1999,593.829664,A,4.38911122176,A
1999-09-20,1999,593.838808,A,4.530695454720001,A
1999-09-21,1999,593.838808,A,4.530695454720001,A
1999-09-22,1999,593.838808,A,4.559012301312,A
1999-09-23,1999,593.838808,A,4.530695454720001,A
1999-09-24,1999,593.841856,A,4.559012301312,A
1999-09-25,1999,593.844904,A,4.587329147904001,A
1999-09-26,1999,593.847952,A,4.672279687680001,A
1999-09-27,1999,593.847952,A,4.643962841088,A
1999-09-28,1999,593.847952,A,4.672279687680001,A
1999-09-29,1999,593.851,A,4.728913380864001,A
1999-09-30,1999,593.847952,A,4.643962841088,A
1999-10-01,2000,593.838808,A,4.502378608128001,A
1999-10-02,2000,593.83576,A,4.474061761536,A
1999-10-03,2000,593.838808,A,4.502378608128001,A
1999-10-04,2000,593.838808,A,4.502378608128001,A
1999-10-05,2000,593.838808,A,4.502378608128001,A
1999-10-06,2000,593.838808,A,4.502378608128001,A
1999-10-07,2000,593.838808,A,4.502378608128001,A
1999-10-08,2000,593.844904,A,4.587329147904001,A
1999-10-09,2000,593.851,A,4.700596534272001,A
1999-10-10,2000,593.854048,A,4.785547074048001,A
1999-10-11,2000,593.857096,A,4.813863920640001,A
1999-10-12,2000,593.857096,A,4.813863920640001,A
1999-10-13,2000,593.854048,A,4.7572302274560005,A
