,obs,resid
2007-05-06,1.884800000000041,0.1761878777589696
2007-05-07,2.337600000000066,0.10647900641724739
2007-05-08,2.5394000000000005,-0.07631904639121423
2007-05-09,2.4236000000000786,-0.09463873610505225
2007-05-10,2.362799999999993,-0.020749219318941137
2007-05-11,2.285000000000082,-0.009345126271402826
2007-05-12,2.1802000000000135,0.05737632860677566
2007-05-13,2.100900000000024,0.0447979047820235
2007-05-14,2.0352000000000317,0.048582226630970116
2007-05-15,1.978900000000067,0.05403820796806125
2007-05-16,1.933300000000031,0.03660864334442593
2007-05-17,1.8958000000000084,0.03500078675784568
2007-05-18,1.862700000000018,0.019244482851679123
2007-05-19,1.835800000000063,0.008984790687031285
2007-05-20,1.8075000000000045,-0.010234468618746106
2007-05-21,1.7874000000000478,-0.04764834193913625
